Pl,horse_name,bar,Track,Gear,Rtg,jockey,trainer,Owner,Last 800m,Last 400m,Final,Second,total second to finish
10,A LA VICTORY,7,1200,"B, TT",79,K A'ISISUHAIRI,J PETERS,CHINA HORSE CLUB STABLE,8,9,10,8.6,71
10,A LA VICTORY,7,1200,"B, TT",79,K A'ISISUHAIRI,J PETERS,CHINA HORSE CLUB STABLE,8,9,10,8.6,71
5,A LA VICTORY,6,1200,"B, TT",77,SY MOON,J PETERS,CHINA HORSE CLUB STABLE,8,7,5,2.7,70
3,A LOT IN HAND,4,1100,B,43,APP CK NG,HK TAN,HAPPY LIFE STABLE,3,3,3,2.9,67
8,A LOT IN HAND,3,1200,B,43,TH KOH,HK TAN,HAPPY LIFE STABLE,2,2,8,8.1,74
4,A LOT IN HAND,11,1200,B,41,M EWE,HK TAN,HAPPY LIFE STABLE,2,2,4,5.1,73
3,A LOT IN HAND,2,1200,B,39,M EWE,HK TAN,HAPPY LIFE STABLE,1,1,3,2.1,73
5,A LOT IN HAND,11,1200,B,39,APP CK NG,HK TAN,HAPPY LIFE STABLE,2,3,5,5.1,73
8,A LOT IN HAND,4,1100,B,38,D DAVID,HK TAN,HAPPY LIFE STABLE,1,2,8,6,66
9,AABIR,3,1000,TT,,V DURIC,M WALKER,JOHN ERIC GILES GALVIN,7,8,9,10.2,62
2,AABIR,6,1000,TT,,R WOODWORTH,M WALKER,JOHN ERIC GILES GALVIN,1,1,2,0.3,119
8,AABIR,7,1200,TT,,R WOODWORTH,M WALKER,JOHN ERIC GILES GALVIN,5,6,8,3.1,72
2,AABIR,10,1100,TT,48,R ZAWARI,M WALKER,JOHN ERIC GILES GALVIN,2,2,2,0.8,65
3,AABIR,3,1000,TT,48,APP AB RIDUAN,M WALKER,JOHN ERIC GILES GALVIN,2,2,3,1.3,60
3,AABIR,12,1000,TT,48,R ZAWARI,M WALKER,JOHN ERIC GILES GALVIN,5,5,3,2.1,119
11,AABIR,3,1000,TT,48,APP AB RIDUAN,M WALKER,JOHN ERIC GILES GALVIN,5,6,11,9.5,61
11,AABIR,9,1100,TT,48,R ZAWARI,M WALKER,JOHN ERIC GILES GALVIN,3,3,11,8.9,67
6,AASKAR,10,1000,"PP, TT",60,V DURIC,D LOGAN,AJ'S STABLE,1,2,6,3.5,61
1,AASKAR,4,1000,"P, TT",60,B THOMPSON,D LOGAN,AJ'S STABLE,1,1,1,0,60
9,AASKAR,6,1000,"P, TT",61,B THOMPSON,D LOGAN,AJ'S STABLE,2,1,9,5.3,61
9,AASKAR,6,1000,"P, TT",61 (+1),S JOHN,D LOGAN,AJ'S STABLE,7,4,9,15.2,62
12,AASKAR,2,1000,"BB, TT",60 (-1),I AZHAR,D LOGAN,AJ'S STABLE,3,2,12,15.7,62
3,ABEBE,3,1400,BB,56,J POWELL,S BAERTSCHIGER,LIM CHUNHOW,4,6,3,2.8,84
13,ABEBE,9,1600,B,56,J POWELL,S BAERTSCHIGER,LIM CHUNHOW,12,14,13,38.7,104
8,ABEBE,1,1600,B,56,APP N ZYRUL,S BAERTSCHIGER,LIM CHUNHOW,7,8,8,10,102
3,ABEBE,5,1600,B,54,J POWELL,S BAERTSCHIGER,LIM CHUNHOW,4,4,3,2.8,96
10,ABEBE,10,1800,B,54,B VORSTER,S BAERTSCHIGER,LIM CHUNHOW,3,7,10,10.1,110
12,ABEBE,8,1600,B,52,M POON,S BAERTSCHIGER,LIM CHUNHOW,10,12,12,12.9,98
8,ABEBE,9,1800,B,50,J POWELL,S BAERTSCHIGER,LIM CHUNHOW,10,4,8,10.7,110
2,ABJAR,10,1200,,,J POWELL,DL FREEDMAN,AJ'S STABLE,4,3,2,0.3,72
4,ABJAR,3,1200,,,J POWELL,DL FREEDMAN,AJ'S STABLE,4,3,4,5.5,71
6,ABJAR,8,1000,SR,,J POWELL,RB MARSH,AJ'S STABLE,8,7,6,9.5,62
4,ABJAR,5,1200,BB,51,A MUNRO,RB MARSH,AJ'S STABLE,7,5,4,4.3,70
5,ABJAR,9,1400,B,51,A MUNRO,RB MARSH,AJ'S STABLE,11,10,5,5.1,84
7,ABJAR,10,1200,B,50,A MUNRO,RB MARSH,AJ'S STABLE,12,10,7,7,72
5,ABLE PINS,11,1200,TT,,J POWELL,S BAERTSCHIGER,MA RACING STABLE,6,3,5,6.3,73
12,ABLE PINS,10,1200,"BRS, TT",,J POWELL,S BAERTSCHIGER,MA RACING STABLE,2,2,12,23.1,77
4,ABLE PINS,2,1000,"BB, TT",,M KELLADY,S BAERTSCHIGER,MA RACING STABLE,3,3,4,3.3,60
3,ABLE PINS,1,1200,"B, TT",50,M KELLADY,S BAERTSCHIGER,MA RACING STABLE,4,3,3,1.8,71
4,ABLE PINS,9,1200,"B, TT",50,J POWELL,S BAERTSCHIGER,MA RACING STABLE,4,4,4,8,75
5,ABLE PINS,1,1200,"B, TT",50,M KELLADY,S BAERTSCHIGER,MA RACING STABLE,2,2,5,6.4,75
1,ABLE PINS,11,1000,"B, TT",50,M KELLADY,S BAERTSCHIGER,MA RACING STABLE,2,2,1,0,60
9,ABLE PINS,9,1000,"B, TT",57,M KELLADY,S BAERTSCHIGER,MA RACING STABLE,4,5,9,3.6,60
11,ABLE PINS,2,1000,"B, TT",57,M KELLADY,S BAERTSCHIGER,MA RACING STABLE,1,1,11,18.2,63
9,ABLEST ASCEND,8,1100,TT,55,APP S SHAFRIZAL,M CLEMENTS,TIVIC STABLE,12,9,9,9.2,67
1,ABLEST ASCEND,7,1200,TT,55,L BEUZELIN,M CLEMENTS,TIVIC STABLE,1,1,1,0,71
2,ABLEST ASCEND,1,1100,TT,56 (+1),R MAIA,M CLEMENTS,TIVIC STABLE,3,3,2,0.2,65
4,ABLEST ASCEND,4,1200,TT,58 (+2),L BEUZELIN,M CLEMENTS,TIVIC STABLE,1,1,4,2.4,71
1,ABLEST ASCEND,1,1000,TT,58 (+2),S SHAFRIZAL,M CLEMENTS,TIVIC STABLE,2,1,1,0,119
6,ABLEST ASCEND,7,1100,TT,63 (+5),S SHAFRIZAL,M CLEMENTS,TIVIC STABLE,1,1,6,4.9,66
1,ABLEST ASCEND,2,1000,TT,63 (+5),M ZAKI,M CLEMENTS,TIVIC STABLE,1,1,1,0,119
10,ABLEST ASCEND,2,1200,TT,68 (+5),M ZAKI,M CLEMENTS,TIVIC STABLE,1,2,10,20.2,73
7,ABLEST ASCEND,2,1000,TT,68 (+5),CC WONG,M CLEMENTS,TIVIC STABLE,1,2,8,3.2,60
1,ABLEST ASCEND,4,1000,TT,67 (-1),APP PH SEOW,M CLEMENTS,TIVIC STABLE,2,1,6,5.1,84
11,ABLEST ASCEND,1,1200,TT,72 (+5),S SHAFRIZAL,M CLEMENTS,TIVIC STABLE,3,6,11,8.2,123
3,ABLEST ASCEND,12,1200,TT,72 (+5),M ZAKI,M CLEMENTS,TIVIC STABLE,1,1,5,9.4,97
10,ABLEST ASCEND,9,1200,TT,72 (+5),S SHAFRIZAL,M CLEMENTS,TIVIC STABLE,2,2,10,7,73
10,ABLEST ASCEND,3,1200,TT,70 (-2),K A'ISISUHAIRI,M CLEMENTS,TIVIC STABLE,1,2,1,0,72
6,ABLEST ASCEND,3,1200,TT,68 (-2),APP PH SEOW,M CLEMENTS,TIVIC STABLE,7,7,2,3.5,74
11,ABLEST ASCEND,12,1000,TT,67 (-1),APP M AKMAZANI,M CLEMENTS,TIVIC STABLE,3,3,3,1.6,84
7,ABLEST ASCEND,3,1000,TT,65 (-2),APP M IBRAHIM,M CLEMENTS,TIVIC STABLE,3,5,9,12.3,67
6,ABLEST ASCEND,2,1000,TT,63 (-2),V DURIC,M CLEMENTS,TIVIC STABLE,2,2,3,0.4,96
8,ABOVE THE HORIZON,4,1600,B,40,APP CC WONG,D KOH,K K STABLE,2,2,8,6.4,97
4,ABOVE THE HORIZON,3,2000,B,38,R WOODWORTH,D KOH,K K STABLE,4,3,4,1.3,128
1,ABOVE THE HORIZON,4,2000,B,37,APP CC WONG,D KOH,K K STABLE,6,4,1,0,98
1,ABOVE THE HORIZON,4,2000,B,37,APP CC WONG,D KOH,K K STABLE,6,4,1,0,98
1,ABSOLUTE MIRACLE,1,1400,,58,D BEASLEY,HW TAN,TORPEDO RACING STABLE,3,2,1,0,83
1,ABSOLUTE MIRACLE,4,1400,BB,64,D BEASLEY,HW TAN,TORPEDO RACING STABLE,7,5,1,0,82
6,ABSOLUTE MIRACLE,2,1400,B,73,D BEASLEY,HW TAN,TORPEDO RACING STABLE,4,4,6,5.7,82
6,ABSOLUTE MIRACLE,2,1400,B,73,D BEASLEY,HW TAN,TORPEDO RACING STABLE,4,4,6,5.7,82
1,ABSOLUTE MIRACLE,12,1400,B,73,D BEASLEY,HW TAN,TORPEDO RACING STABLE,12,11,1,0,123
3,ABSOLUTE MIRACLE,6,1400,B,79,D BEASLEY,HW TAN,TORPEDO RACING STABLE,8,7,3,1.4,82
6,ABSOLUTE MIRACLE,5,1200,B,79,D BEASLEY,HW TAN,TORPEDO RACING STABLE,7,6,6,4.8,70
5,ABSOLUTE MIRACLE,1,1400,B,78,D BEASLEY,HW TAN,TORPEDO RACING STABLE,11,8,5,3,82
5,ABSOLUTE MIRACLE,1,1600,B,78,A MUNRO,HW TAN,TORPEDO RACING STABLE,3,3,5,1.4,95
8,ABSOLUTE MIRACLE,13,2000,B,83,A MUNRO,HW TAN,TORPEDO RACING STABLE,12,11,8,3.2,123
8,ABSOLUTE MIRACLE,10,1800,B,83,O PLACAIS,HW TAN,TORPEDO RACING STABLE,7,4,8,3.4,109
7,ABSOLUTE MIRACLE,9,1600,B,83,O PLACAIS,HW TAN,TORPEDO RACING STABLE,10,8,7,3.3,95
6,ABSOLUTE MIRACLE,3,1200,B,83,O PLACAIS,HW TAN,TORPEDO RACING STABLE,8,6,6,4.1,71
6,ABSOLUTE MIRACLE,4,1400,B,82,WL HO,HW TAN,TORPEDO RACING STABLE,7,7,6,4.3,83
2,ABSOLUTE MIRACLE,1,1400,B,86,O PLACAIS,HW TAN,TORPEDO RACING STABLE,6,4,2,1,82
11,ABSOLUTE MIRACLE,13,1400,B,88,R WOODWORTH,D MEAGHER,TORPEDO RACING STABLE,14,14,11,5.4,82
8,ABSOLUTE MIRACLE,7,1400,B,88,T SEE,D MEAGHER,TORPEDO RACING STABLE,10,10,8,4.2,82
10,ABSOLUTE MIRACLE,5,1100,,87,T SEE,D MEAGHER,TORPEDO RACING STABLE,8,8,10,5.9,66
9,ABSOLUTE MIRACLE,3,1200,B,85,T SEE,D MEAGHER,TORPEDO RACING STABLE,10,10,9,12.6,73
4,ABSOLUTE MIRACLE,6,1200,,83,O PLACAIS,D MEAGHER,TORPEDO RACING STABLE,9,9,4,2.9,71
2,ABSOLUTE MIRACLE,4,1400,B,82,O PLACAIS,D MEAGHER,TORPEDO RACING STABLE,9,7,2,0.5,82
12,ABSOLUTE MIRACLE,7,1400,B,84,CS CHIN,D MEAGHER,TORPEDO RACING STABLE,8,7,12,7.2,83
3,ABSOLUTE MIRACLE,11,1600,B,83,H BOWMAN,D MEAGHER,TORPEDO RACING STABLE,7,3,3,1.8,95
8,ABSOLUTE MIRACLE,4,1400,B,83,MM FIRDAUS,D MEAGHER,TORPEDO RACING STABLE,5,7,8,7.2,83
13,ABSOLUTE MIRACLE,6,1800,B,82,T SEE,D MEAGHER,TORPEDO RACING STABLE,8,6,13,10.8,109
4,ABSOLUTE MIRACLE,11,1400,B,80,B THOMPSON,D MEAGHER,TORPEDO RACING STABLE,10,7,4,2.2,83
4,ABSOLUTE MIRACLE,4,1600,B,80,B THOMPSON,D MEAGHER,TORPEDO RACING STABLE,7,6,4,3.1,95
10,ABSOLUTE MIRACLE,12,1600,"B, TT, SR",79,APP N ZYRUL,RB MARSH,TORPEDO RACING STABLE,13,12,10,9,96
4,ABSOLUTE MIRACLE,12,1600,B,77,T SEE,RB MARSH,TORPEDO RACING STABLE,12,6,4,5.3,100
8,ABSOLUTE MIRACLE,4,1400,B,75 (-2),T REHAIZAT,RB MARSH,TORPEDO RACING STABLE,14,11,8,4.9,83
6,ABSOLUTE MIRACLE,3,1400,B,73 (-2),T SEE,RB MARSH,TORPEDO RACING STABLE,10,9,6,1.8,83
6,ABSOLUTE MIRACLE,13,1600,B,72,T SEE,RB MARSH,TORPEDO RACING STABLE,11,10,6,5.5,96
10,ABSOLUTE MIRACLE,8,1000,PP,70,C MURRAY,RB MARSH,TORPEDO RACING STABLE,10,10,10,6.8,60
12,ABSOLUTE MIRACLE,9,1200,,68,C MURRAY,RB MARSH,TORPEDO RACING STABLE,12,12,12,7.9,71
12,ABSOLUTE MIRACLE,9,1200,,67 (-1),C MURRAY,RB MARSH,TORPEDO RACING STABLE,12,11,12,7.4,71
14,ABSOLUTE MIRACLE,7,1600,,65 (-2),C MURRAY,RB MARSH,TORPEDO RACING STABLE,9,9,14,12.9,98
3,ABSOLUTE MIRACLE,4,1600,B,62 (-3),C MURRAY,RB MARSH,TORPEDO RACING STABLE,6,6,3,5.3,101
8,ABSOLUTE MIRACLE,5,1400,B,62 (-3),A COLLETT,RB MARSH,TORPEDO RACING STABLE,8,7,8,6.2,84
6,ABSOLUTE MIRACLE,2,1200,B,60 (-2),APP N ZYRUL,J ONG,TORPEDO RACING STABLE,10,8,6,6.5,73
8,ABSOLUTE MIRACLE,7,1600,B,58 (-2),APP N ZYRUL,J ONG,TORPEDO RACING STABLE,8,8,8,8.5,98
3,ABSOLUTE MIRACLE,7,1600,B,56 (-2),D MOOR,J ONG,TORPEDO RACING STABLE,6,5,3,2.5,99
11,ABSOLUTE MIRACLE,5,1600,B,56 (-2),APP M NIZAR,J ONG,TORPEDO RACING STABLE,11,11,11,7.1,97
7,ABSOLUTE MIRACLE,8,1600,B,54 (-2),K A'ISISUHAIRI,J ONG,TORPEDO RACING STABLE,8,8,7,8,101
4,ABSOLUTE MIRACLE,11,1600,B,52 (-2),TH KOH,J ONG,TORPEDO RACING STABLE,6,4,4,2.3,102
6,ABSOLUTE MIRACLE,10,1600,B,52 (-2),J SEE,J ONG,TORPEDO RACING STABLE,11,8,6,4.6,100
8,ABSOLUTE MIRACLE,3,1400,B,50 (-2),J SEE,J ONG,TORPEDO RACING STABLE,9,7,8,8.1,85
7,ABSOLUTE MIRACLE,6,1200,B,48 (-2),APP N ZYRUL,J ONG,TORPEDO RACING STABLE,11,10,7,3.8,73
11,ABSOLUTE MIRACLE,7,1400,B,46 (-2),J SEE,J ONG,TORPEDO RACING STABLE,11,7,11,6.5,85
7,ABSOLUTE RADIANCE,6,1200,,,M LERNER,M CLEMENTS,TIVIC STABLE,4,4,6,5.3,71
5,ABSOLUTE RADIANCE,4,1200,BB,,APP M IBRAHIM,M CLEMENTS,TIVIC STABLE,5,7,8,5.2,70
3,ABSOLUTE RADIANCE,1,1400,B,,V DURIC,M CLEMENTS,TIVIC STABLE,5,4,5,4.5,101
8,ABSOLUTE RADIANCE,5,1400,B,47,APP M IBRAHIM,M CLEMENTS,TIVIC STABLE,1,1,5,2.1,119
2,ABSOLUTE RADIANCE,5,1600,B,46 (-1),V DURIC,M CLEMENTS,TIVIC STABLE,5,3,2,0.2,82
6,ABSOLUTE RADIANCE,3,1600,B,47 (+1),APP M IBRAHIM,M CLEMENTS,TIVIC STABLE,3,3,6,6,100
1,ABSOLUTE RADIANCE,3,1600,B,46 (-1),V DURIC,M CLEMENTS,TIVIC STABLE,5,7,1,0,97
5,ABSOLVIDO,9,1200,PP,,G BOSS,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,8,5,2.7,71
1,ABSOLVIDO,10,1400,,,G BOSS,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,11,1,0,84
3,ABSOLVIDO,7,1400,,56,G BOSS,S BURRIDGE,STEVEN HAROLD BURRIDGE,9,9,3,2.9,84
3,ABSOLVIDO,10,1400,BB,56,V DURIC,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,8,3,3.3,83
8,ABSOLVIDO,2,1600,BP1,56,R CURATOLO,S BURRIDGE,STEVEN HAROLD BURRIDGE,7,7,8,8.2,102
6,ABSOLVIDO,7,1600,,55,G BOSS,S BURRIDGE,STEVEN HAROLD BURRIDGE,9,8,6,2.9,102
3,ABSOLVIDO,10,1200,,54,APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,9,9,3,0.8,71
1,ABSOLVIDO,9,1200,,55,APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,10,1,0,72
1,ABSOLVIDO,11,1200,,61 (+6),S NOH,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,10,1,0,73
9,ABSOLVIDO,11,1200,,68,B THOMPSON,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,9,6.3,73
2,ABSOLVIDO,12,1400,,68,S NOH,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,2,2,83
11,ABSOLVIDO,5,1600,,68 (+7),N JUGLALL,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,11,7.2,95
3,ABSOLVIDO,8,1200,,67,APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,9,3,1.3,72
8,ABSOLVIDO,1,1400,,67 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,14,14,8,3.5,83
4,ABSOLVIDO,2,1400,,65,APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,10,4,2.1,83
2,ABSOLVIDO,4,1400,,64 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,12,2,0.1,84
6,ABSOLVIDO,7,1400,,66 (+2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,12,6,3.8,83
3,ABSOLVIDO,1,1400,,65 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,11,3,1.3,83
8,ABSOLVIDO,7,1400,,65 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,14,14,8,6.7,83
7,ABSOLVIDO,11,1400,,63 (-2),A COLLETT,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,7,2.8,83
7,ABSOLVIDO,5,1200,,61 (-2),R WOODWORTH,S BURRIDGE,STEVEN HAROLD BURRIDGE,8,9,7,6.7,72
2,ABSOLVIDO,8,1200,,61 (-2),B MERTENS,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,2,0.3,72
4,ABSOLVIDO,1,1200,,62 (+1),M RODD,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,9,4,0.9,73
5,ABSOLVIDO,10,1400,,62 (+1),M RODD,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,10,5,4.8,83
3,ABSOLVIDO,2,1200,,67 (+6),R MAIA,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,9,3,2.3,70
5,ABSOLVIDO,5,1200,,67 (+6),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,5,2.1,72
7,ABSOLVIDO,5,1200,,66 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,7,3.9,70
7,ABSOLVIDO,3,1200,,64 (-2),K A'ISISUHAIRI,S BURRIDGE,STEVEN HAROLD BURRIDGE,13,10,7,2.4,71
1,ABSOLVIDO,4,1200,,63 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,7,1,0,70
7,ABSOLVIDO,14,1200,,68 (+5),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,14,13,7,4.7,70
7,ABSOLVIDO,10,1600,,68 (+5),JP VAN DERMERWE,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,7,10.6,102
10,ABSOLVIDO,8,1400,,67 (-1),CC WONG,S BURRIDGE,STEVEN HAROLD BURRIDGE,13,14,10,6,84
10,ABSOLVIDO,6,1200,,65 (-2),J POWELL,S BURRIDGE,STEVEN HAROLD BURRIDGE,14,14,10,7.1,72
7,ABSOLVIDO,11,1200,P,63 (-2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,7,6,72
3,ABSOLVIDO,9,1200,WK,61 (-2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,8,3,1.5,71
6,ABSOLVIDO,2,1400,WK,60 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,6,7,6,2.6,84
7,ABSOLVIDO,11,1400,VIS,58 (-2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,13,14,7,2.5,84
1,ABSOLVIDO,10,1400,VIS,56 (-2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,13,12,1,0,83
8,ABSOLVIDO,13,1400,VIS,61 (+5),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,14,14,8,4,100
5,ABSOLVIDO,2,1200,VIS,61 (+5),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,4,1.6,71
11,ABSOLVIDO,6,1400,VIS,60 (-1),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,13,12,3,1.5,71
7,ABSOLVIDO,4,1400,VIS,58 (-2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,13,13,11,6.4,98
10,ABSOLVIDO,5,1200,,56 (-2),APP WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,10,7,8.2,110
10,ABSOLVIDO,4,1200,,54 (-2),O CHAVEZ,S BURRIDGE,STEVEN HAROLD BURRIDGE,12,12,11,16.1,73
4,ABSOLVIDO,8,1200,,52 (-2),CC WONG,S BURRIDGE,STEVEN HAROLD BURRIDGE,8,8,7,11.7,66
6,ABSOLVIDO,1,1400,,51 (-1),WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,8,8,6,11.1,99
8,ABSOLVIDO,3,1400,,49 (-2),APP K HAKIM,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,11,10,6.3,72
4,ABSOLVIDO,9,1200,VIS,48 (-1),WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,9,8,2,0.8,119
98,ABSOLVIDO,6,1200,VIS,48 (-1),D BEASLEY,S BURRIDGE,STEVEN HAROLD BURRIDGE,98,98,98,2.6,70
3,ABSOLVIDO,4,1200,,48 (-1),D BEASLEY,S BURRIDGE,STEVEN HAROLD BURRIDGE,7,7,7,7.2,66
9,ABSOLVIDO,9,1200,,48 (-1),WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,11,11,2,0.5,71
6,ABSOLVIDO,4,1400,VIS,46 (-2),WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,10,9,6,4.7,84
3,ABSOLVIDO,3,1200,VIS,44 (-2),WH KOK,S BURRIDGE,STEVEN HAROLD BURRIDGE,7,5,3,0.6,71
6,ACCELERANDO,8,1200,"TT, VIS",55,G MOSSE,M YUSOF,RHYTHM STABLE,11,11,6,3.1,70
6,ACCELERANDO,8,1200,"TT, VIS",55,G MOSSE,M YUSOF,RHYTHM STABLE,11,11,6,3.1,70
8,ACCELERANDO,2,1400,"TT, VIS",55,G MOSSE,M YUSOF,RHYTHM STABLE,11,10,8,2.4,84
10,ACCELERANDO,10,1000,"TT, VIS",59,I AZHAR,M YUSOF,RHYTHM STABLE,11,11,10,9.1,62
5,ACCELERANDO,5,1200,"TT, VIS",59,R CURATOLO,M YUSOF,RHYTHM STABLE,11,11,5,5.7,71
7,ACCELERANDO,7,1600,"TT, VIS",58,V DURIC,M YUSOF,RHYTHM STABLE,13,13,7,5.8,97
4,ACCELERANDO,1,1200,"TT, VIS",56,S NOH,M YUSOF,RHYTHM STABLE,6,6,4,1.8,71
9,ACCELERANDO,12,1400,"BB, TT",56,APP A SYAHIR,M YUSOF,RHYTHM STABLE,10,8,9,12.7,85
11,ACCELERANDO,4,1200,"B, TT",56,M ZAKI,M YUSOF,RHYTHM STABLE,11,12,11,15.2,72
11,ACCELERANDO,2,1200,"B, TT",55,APP M NIZAR,M YUSOF,RHYTHM STABLE,8,10,11,7.6,72
6,ACCELERANDO,1,1200,"TT, EM",53 (-2),K A'ISISUHAIRI,D KOK,RHYTHM STABLE,8,9,6,3.3,71
10,ACCELERANDO,8,1200,"TT, EM",51 (-2),K A'ISISUHAIRI,D KOK,RHYTHM STABLE,8,9,10,11.2,73
8,ACCELERANDO,1,1000,"TT, EM",49 (-2),J SEE,D KOK,RHYTHM STABLE,8,7,8,4.9,61
7,ACCELERANDO,4,1200,,48 (-1),APP N ZYRUL,D KOK,RHYTHM STABLE,2,3,7,5.3,71
12,ACCELERANDO,2,1400,WK,46 (-2),APP N ZYRUL,D KOK,RHYTHM STABLE,5,5,12,7.2,84
8,ACCELERANDO,12,1600,WK,44 (-2),APP M NIZAR,D KOK,RHYTHM STABLE,10,9,8,8.3,101
10,ACCELERANDO,8,1600,WK,42 (-2),M EWE,D KOK,RHYTHM STABLE,8,10,10,12.4,104
12,ACCUMULATION,5,1400,,,M RODD,M WALKER,TE AKAU RACING STABLE,4,8,12,8.1,85
6,ACCUMULATION,10,1200,TT,,MM FIRDAUS,M WALKER,TE AKAU RACING STABLE,10,9,6,5.6,71
5,ACCUMULATION,10,1400,TT,,V DURIC,M WALKER,TE AKAU RACING STABLE,9,7,5,4.6,85
2,ACCUMULATION,7,1200,"BP1, TT",50,V DURIC,M WALKER,TE AKAU RACING STABLE,9,8,2,3,73
5,ACCUMULATION,6,1200,"BP, TT",50,V DURIC,M WALKER,TE AKAU RACING STABLE,10,9,5,3.3,74
2,ACCUMULATION,9,1600,"TT, SR",49,R CURATOLO,M WALKER,TE AKAU RACING STABLE,6,3,2,0.5,101
2,ACCUMULATION,9,1600,"TT, SR",52,R CURATOLO,M WALKER,TE AKAU RACING STABLE,4,4,2,4,101
10,ACCUMULATION,8,1600,"TT, SR",52,R CURATOLO,M WALKER,TE AKAU RACING STABLE,5,4,10,7.8,98
3,ACCUMULATION,11,1200,"TT, SR",51 (-1),V DURIC,M WALKER,TE AKAU RACING STABLE,8,7,3,6.3,74
2,ACCUMULATION,12,1400,"TT, SR",51,D MOOR,M WALKER,TE AKAU RACING STABLE,12,12,2,0.1,84
3,ACCUMULATION,10,1600,"TT, SR",51 (-1),V DURIC,M WALKER,TE AKAU RACING STABLE,9,3,3,6.5,98
12,ACCUMULATION,5,1400,"TT, SR",51,D MOOR,M WALKER,TE AKAU RACING STABLE,14,13,12,4.6,85
4,ACCUMULATION,10,1200,"TT, SR",49,MM FIRDAUS,M WALKER,TE AKAU RACING STABLE,10,8,4,0.7,73
6,ACCUMULATION,9,1200,"TT, SR",49,V DURIC,M WALKER,TE AKAU RACING STABLE,8,6,6,3.1,72
10,ACCUMULATION,7,1400,"TT, SR",49,MM FIRDAUS,M WALKER,TE AKAU RACING STABLE,12,7,10,8,85
4,ACCUMULATION,1,1200,,48 (-1),MM FIRDAUS,M WALKER,TE AKAU RACING STABLE,10,10,4,8.5,74
8,ACCUMULATION,11,1600,,46 (-2),R WOODWORTH,M WALKER,TE AKAU RACING STABLE,6,5,8,8.7,102
7,ACCUMULATION,2,1200,,44 (-2),R WOODWORTH,M WALKER,TE AKAU RACING STABLE,10,8,7,6.8,74
6,ACCUMULATION,1,1600,,42 (-2),I AZHAR,M WALKER,TE AKAU RACING STABLE,5,5,6,6.9,102
3,ACCUMULATION,2,1200,"TT, SR",40 (-2),APP K HAKIM,M WALKER,TE AKAU RACING STABLE,5,4,3,0.9,72
8,ACCUMULATION,9,1400,"TT, SR",40 (-2),APP K HAKIM,M WALKER,TE AKAU RACING STABLE,7,9,8,5.3,84
10,ACCUMULATION,1,1200,"TT, SR",38 (-2),APP K HAKIM,M WALKER,TE AKAU RACING STABLE,5,5,10,9.2,74
